Nov 20 2008	09:57:59	192.38.28.80	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=192.38.28.80	source_host=seppo.gbif.org
Nov 20 2008	09:58:21	192.38.28.80	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=192.38.28.80	source_host=seppo.gbif.org
Nov 20 2008	10:09:15	127.0.0.1	[info]		resource=milichiidae	operation=ping	encoding=kvp	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk
Nov 20 2008	10:09:27	127.0.0.1	[info]		resource=milichiidae	operation=ping	encoding=xml	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk
Nov 20 2008	10:09:34	127.0.0.1	[info]		resource=milichiidae	operation=ping	encoding=kvp	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk
Nov 20 2008	10:11:03	192.38.28.80	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=192.38.28.80	source_host=seppo.gbif.org
Nov 20 2008	10:12:52	127.0.0.1	[info]		resource=milichiidae	operation=ping	encoding=kvp	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk
Nov 20 2008	10:31:43	192.38.28.14	[info]		resource=milichiidae	operation=metadata	encoding=kvp	logonly=false	xslt=NULL	source_ip=192.38.28.14	source_host=gbif-pc1-14.gbif.org
Nov 20 2008	10:32:19	127.0.0.1	[info]		resource=milichiidae	operation=metadata	encoding=xml	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk
Nov 20 2008	10:32:24	127.0.0.1	[info]		resource=milichiidae	operation=capabilities	encoding=xml	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk
Nov 20 2008	10:32:39	127.0.0.1	[info]		resource=milichiidae	operation=inventory	encoding=xml	logonly=false	xslt=NULL	source_ip=127.0.0.1	source_host=quartz.nhm.ac.uk	start=0	limit=20	returned=19	template=NULL	concepts=http://rs.tdwg.org/dwc/dwcore/ScientificName	sql=SELECT tapirlink.taxonomicname AS c0, count(*) as cnt FROM tapirlink GROUP BY tapirlink.taxonomicname ORDER BY tapirlink.taxonomicname	filter=NULL
